url_path,views_total,views_unique
/Jules-Kong/ventus_cpu_guide,8,3
/Jules-Kong/ventus_cpu_guide/graphs/traffic,1,1
/Jules-Kong/ventus_cpu_guide/issues,1,1
/Jules-Kong/ventus_cpu_guide/pulse,1,1
